author_num,author_id
620,MJEVANS
621,MHASCH
622,RICKM
623,GWYN
624,BMORROW
625,CML
626,ZARQUON
627,SUKRIA
628,GROUSSE
629,OALDERS
630,DJERIUS
631,JBURNETT
632,ANDREWF
633,GTERMARS
634,FORTY
635,EIDOLON
636,RKAPL
637,JKAMPHAUS
638,MIKI
639,YANICK
640,SMUELLER
641,MIKE
642,YARON
643,NIGAM
644,MSCHWERN
645,LISCOVIUS
646,SULLR
647,MANOJKG
648,CDOLAN
649,SUZUKI
650,CODECHILD
651,MAHNKONG
652,TOKUHIROM
653,KURIHARA
654,WURST
655,GROMMIER
656,YUSUKEBE
657,BENAZZO
658,ARUL
659,SNAFUFANS
660,MARKWKM
661,KNORR
662,TURNSTEP
663,FCO
664,BRIANSKI
665,SAPER
666,RSOLIV
667,LAJANDY
668,MSTROUT
669,JGOULAH
670,PJFL
671,RBOW
672,SFARRELL
673,JANPAZ
674,ULPFR
675,JOHNH
676,MAHEX
677,JWIED
678,BRIAN
679,KJALB
680,HIGHTOWE
681,GBARR
682,TYEMQ
683,FPIVARI
684,AWRIGLEY
685,DOUGM
686,GSAR
687,CNANDOR
688,ABARCLAY
689,MSOLOMON
690,NI-S
691,DJBECKETT
692,GLENNWOOD
693,DAVEROTH
694,RAM
695,GSM
696,JBAKER
697,STBEY
698,ABW
699,MJD
700,GABOR
701,BRIANSP
702,GAAS
703,GBAUER
704,BSUGARS
705,JPRIT
706,DEWEG
707,GRICHTER
708,MHM
709,ACH
710,KENFOX
711,HTOUG
712,CHTTRAX
713,HAYASHI
714,MSCHWARTZ
715,MICB
716,ABH
717,JOHNL
718,SPURKIS
719,NWINT
720,YLU
721,JACKS
722,SWMCD
723,CHIPS
724,ERYQ
725,LDS
726,SKIMO
727,NEMWS
728,SBECK
729,JDUNCAN
730,TOMC
731,MIKEH
732,LUTHERH
733,NEILB
734,LUSOL
735,DMR
736,TOMFA
737,FSG
738,JARW
739,BENLI
740,ADESC
741,WINKO
742,ASHER
743,DMEGG
744,HPALM
745,JONG
746,KGB
747,ANDYD
748,LEAKIN
749,DJKERNEN
750,JONAS
751,DOUGL
752,GREGOR
753,DMUSGR
754,PRATZLAFF
755,TOBIX
756,MSERGEANT
757,JHORWITZ
758,SCHOEN
759,AEPAGE
760,WOODY
761,REATMON
762,DBRIAN
763,EESTABROO
764,STIGMATA
765,MSCROGGIN
766,ERNGUI
767,GOZER
768,KNOK
769,CKAISER
770,ANDYDUNC
771,TAIY
772,JSLAGEL
773,SEYN
774,BINKLEY
775,GSLONDON
776,JTOBEY
777,JPEACOCK
778,KNIGHT
779,FONKIE
780,TBONE
781,KRBURTON
782,JSMYSER
783,RBS
784,DSB
785,JHI
786,SUMMER
787,JHARDING
788,DANB
789,MATTMK
790,SCHOP
791,BRADAPP
792,TURNERA
793,PFRANCEUS
794,AGUL
795,MIKEKING
796,VIZDOM
797,CHAMAS
798,JJDG
799,RWAHBY
800,AWOOD
801,DJPADZ
802,JMAC
803,METZZO
804,ILYAM
805,DJBERG
806,ASTILLER
807,AJACKSON
808,RVSUTHERL
809,SMEE
810,JASONS
811,FIMM
812,IGREC
813,OEVANS
814,REDEN
815,PGUEN
816,APPEL
817,DLEIGH
818,CTWETEN
819,ISTERIN
820,PINYAN
821,MSTEVENS
822,MBLAZ
823,TBRAUN
824,YEWEI
825,MCASHNER
826,MSROTH
827,KWITKNR
828,DAOT
829,PMH
830,ADIRAJ
831,VOISCHEV
832,RJRAY
833,IFROL
834,PLONKA
835,ACALPINI
836,RFOLEY
837,FOOF
838,EHOOD
839,DYACOB
840,TOMZO
841,PMOORE
842,CJOHNSTON
843,TJMATHER
844,THOGEE
845,SBURKE
846,PHOENIX
847,DARNOLD
848,MADWOLF
849,RSPIER
850,WIMV
851,KHAMPTON
852,LDACHARY
853,CCZ
854,JSTOWE
855,RKIES
856,VIPUL
857,MILSO
858,PJORDAN
859,STEPHEN
860,JEFFA
861,FERGUSOR
862,RRS
863,DANKOGAI
864,COLINM
865,LOGVINON
866,JHELBERG
867,DSUGAL
868,CERNEY
869,NEILW
870,IX
871,KIMURA
872,PVERD
873,KRAEHE
874,DLUX
875,TWIBBLER
876,AMICHAUER
877,AJPEACOCK
878,SHLOMOY
879,RSAVAGE
880,BBRYANT
881,SIMONW
882,NWCLARK
883,WPMOORE
884,ALIAN
885,AMS
886,ESUMMERS
887,DAVEO
888,GRAHAMC
889,RPOLZER
890,MHOSKEN
891,BOBG
892,MERGL
893,SUTCH
894,DIDO
895,ROBBIEBOW
896,KERR
897,KEVIN
898,FISH
899,TATE
900,ARNHEMCR
901,BFOZ
902,KAORU
903,EHSANE
904,DAMOG
905,IFUSCHINI
906,GRUBER
907,AULUSOY
908,CYGA
909,DONEILL
910,POTYL
911,ZORDRAK
912,SUNTONG
913,DAMJANP
914,JKEGL
915,CLAESJAC
916,HANENKAMP
917,KIMOTO
918,AML
919,RBERJON
920,HKCLARK
921,SHARDIWAL
922,NSHARROCK
923,GIRAFFED
924,GANGLION
925,CDRAKE
926,DKASAK
927,DORIAN
928,MGRAHAM
929,MINGYILIU
930,ECALDER
931,KOHLIS
932,ELIZABETH
933,MORGOTHII
934,HSTEEB
935,LOCATION
936,ADRIANWIT
937,DPETROV
938,CFAERBER
939,CCOLBOURN
940,JONIONS
941,EDD
942,OCTO
943,BDONLAN
944,KINZLER
945,TSUKAMOTO
946,NAUGHTON
947,CLSUNG
948,JCROMIE
949,JWALT
950,LINMAR
951,RUDY
952,KILINRAX
953,KAARE
954,KESTER
955,RHIZO
956,ALANSZ
957,IVORW
958,NMCFARL
959,TAG
960,OFEYAIKON
961,EIJABB
962,ROODE
963,ELLIPSE
964,RDICE
965,PBOWEN
966,JHOBLITT
967,MAREKR
968,ECKARDT
969,VPARSEVAL
970,IWALZ
971,HTCHAPMAN
972,DBROBINS
973,STEFFENW
974,LINSALROB
975,EMARTIN
976,GUIDO
977,EVDB
978,IJLIAO
979,AERDAN
980,CAPOEIRAB
981,DJO
982,MNDRIX
983,MLFISHER
984,LEMBARK
985,DHUNT
986,JUDITH
987,SJZASADA
988,AWKAY
989,TOMSON
990,NJH
991,RHESA
992,AGROLMS
993,MARTING
994,MMCGILLIS
995,AKIMOV
996,ELLIOTT
997,BLM
998,JOESUF
999,KGRENNAN
1000,AJOLMA
1001,THALJEF
1002,JSTRAUSS
1003,OESTERHOL
1004,SABECK
1005,SOFTDIA
1006,FLUFFY
1007,RST
1008,SDERLE
1009,TVIERLING
1010,CDENT
1011,EWIJAYA
1012,CORION
1013,KARASIK
1014,GMG
1015,HBABCOCK
1016,RJE
1017,AMALTSEV
1018,DBROWNING
1019,PICZ
1020,FREESIDE
1021,JPVIDAL
1022,DHARDISON
1023,ROGER
1024,DALCAZAR
1025,DIRT
1026,STRYTOAST
1027,PETDANCE
1028,DCASTRO
1029,ILIAL
1030,KING
1031,GKNAUSS
1032,SVANZOEST
1033,MCURTIS
1034,BSHANKS
1035,MARTIJN
1036,IWOODHEAD
1037,CCPRO
1038,JDALBERG
1039,DESPAIR
1040,KOKOGIKO
1041,WROSS
1042,RCAPUTO
1043,SPADKINS
1044,GEOTIGER
1045,PEDWARDS
1046,TWYLIE
1047,TJENNESS
1048,CCAVNOR
1049,INFINOID
1050,HOYMICH
1051,MARKPF
1052,RVOSA
1053,SPECTRUM
1054,SOCK
1055,YOSHIDA
1056,WORM
1057,AFN
1058,CHENYR
1059,ANTHONYU
1060,AHOYING
1061,TOMYHERO
1062,MIZZY
1063,MMATHEWS
1064,APLONIS
1065,MWARDELL
1066,TANGENT
1067,TIGRIS
1068,MIROD
1069,TINITA
1070,PLOBBES
1071,BRYCE
1072,PMEVZEK
1073,HDM
1074,ZIGOROU
1075,ELEONORA
1076,ZEV
1077,DIBERRI
1078,RPAGITSCH
1079,MEYEAARD
1080,CGUINE
1081,KBAUCOM
1082,MAKAROW
1083,UNOBE
1084,PTINSLEY
1085,WHITEB
1086,JONASBN
1087,CJONES
1088,BIGPRESH
1089,HOOWA
1090,BROCKMD
1091,MATTN
1092,RPHANEY
1093,SPROUT
1094,TBR
1095,TWITTEK
1096,UKOLOFF
1097,YAMATO
1098,SREEKANTH
1099,JMURPHY
1100,RSE
1101,TRIAS
1102,SMPILL
1103,WATANABE
1104,JAKE
1105,LUKKA
1106,MFUHR
1107,AWIN
1108,RIK
1109,PRYAN
1110,JGROENVEL
1111,DBEAZLEY
1112,RRA
1113,NREICHEN
1114,ENNO
1115,SAIT
1116,JHOWELL
1117,MGRABNAR
1118,AKIRA
1119,DBONNER
1120,LIRAZ
1121,ASANDSTRM
1122,PSHARPE
1123,PMKANE
1124,DURIST
1125,AMAR
1126,VKHERA
1127,JLLEROY
1128,KIMRYAN
1129,GOSSAMER
1130,FHOLTRY
1131,DIONALM
1132,SAMTREGAR
1133,OLIBOU
1134,JNOLAN
1135,SHARYANTO
1136,CTDEAN
1137,ZENIN
1138,CFRETER
1139,MARTINB
1140,JANL
1141,TWENRICH
1142,EGROSS
1143,KMACLEOD
1144,SPP
1145,CJM
1146,SMALYSHEV
1147,KMELTZ
1148,BHOLZMAN
1149,CHOLET
1150,SDOWD
1151,MATKIN
1152,CHTHORMAN
1153,NIKIP
1154,MRJC
1155,EBOHLMAN
1156,BOESCH
1157,BOBSIDE
1158,JZAWODNY
1159,PEASE
1160,SPANNRING
1161,ABURLISON
1162,JSMITH
1163,AOCINAR
1164,SHAWNPW
1165,ALEXIOB
1166,WRW
1167,JNEYSTADT
1168,GWARD
1169,FDESAR
1170,VALERIE
1171,SHARRIS
1172,MHAMILTON
1173,IKLUFT
1174,SNOWHARE
1175,JVENIER
1176,MAURICE
1177,MARCLANG
1178,ARVIEGAS
1179,JDPORTER
1180,JJOAO
1181,ASPA
1182,SCR
1183,FTASSIN
1184,STEVE
1185,COOPERCL
1186,CEVANS
1187,JURL
1188,JOSH
1189,SHARRISON
1190,CRITTER
1191,WCATLAN
1192,DUTCHMAN
1193,IAMCAL
1194,ABIGAIL
1195,SRPATT
1196,JOSHUA
1197,MUENALAN
1198,JMBO
1199,SDRABBLE
1200,HROGERS
1201,IKEBE
1202,ATRICKETT
1203,HOBBIT
1204,BRIAC
1205,BORISZ
1206,TWEGNER
1207,KOBAYASI
1208,JRLITTELL
1209,ASKSH
1210,OKLETSGO
1211,ZAKZ
1212,BBB
1213,OYAMA
1214,MPREWITT
1215,SHERZODR
1216,OWEN
1217,PCIMPRICH
1218,TMTM
1219,WADG
1220,PERRAD
1221,NWIGER
1222,HAKANARDO
1223,SCOTTW
1224,DIVEC
1225,SCHUMACK
1226,BEATNIK
1227,JLISHEV
1228,GAFFER
1229,ALFO
1230,SKROVAN
1231,GIULIENK
1232,ZLIPTON
1233,MIKEDLR
1234,RGIERSIG
1235,AALLAN
1236,PHISH
1237,STOUGARD
1238,TSTANLEY
1239,RONAN
1240,TPABA
1241,RAZINF
1242,NWETTERS
1243,DAVIDNICO
1244,DOUGW
1245,RWMJ
1246,FSORIANO
1247,TURNERJW
1248,KAHIRSCH
1249,JRYAN
1250,JGOFF
1251,KOHA
1252,HARASTY
1253,THEDEVIL
1254,KRZAK
1255,SKUD
1256,HSMYERS
1257,SHAYH
1258,SMANROSS
1259,JPOWERS
1260,ROTH
1261,STURM
1262,NBYRD
1263,THOMSON
1264,TSCANLAN
1265,PHINYX
1266,BYRNE
1267,MIVKOVIC
1268,JDLEE
1269,ABERGMAN
1270,HBIERSMA
1271,NOG
1272,CCLARK
1273,MAXB
1274,DBP
1275,DRUOSO
1276,AFOXSON
1277,SCHAFFTER
1278,BLUEFEET
1279,HAWKINSM
1280,SWAMPFOX
1281,SPOON
1282,STEVEGT
1283,DREAMG
1284,GRISHACE
1285,WYANT
1286,DKOCH
1287,PGOLLUCCI
1288,PIJLL
1289,DPATES
1290,ALPO
1291,BIGJ
1292,MUNROER
1293,EBRUNI
1294,FRIGHETTI
1295,CREIN
1296,HACHI
1297,MONDEJAR
1298,MERLYN
1299,FDALY
1300,DWHEELER
1301,LLAP
1302,BPRUDENT
1303,TWH
1304,STEPHANB
1305,GEOFFR
1306,ENRYS
1307,PERNST
1308,AADLER
1309,PIXEL
1310,REECE
1311,XPIX
1312,WARTHURT
1313,CRAFFI
1314,OUBIWANN
1315,FOX
1316,SHOGE
1317,BHODGES
1318,COOK
1319,MARKF
1320,MAKLER
1321,RLZWART
1322,YVES
1323,PJCJ
1324,MROGASKI
1325,GERRIT
1326,JAMESB
1327,AHICOX
1328,WIHAA
1329,XAOINC
1330,DHUDES
1331,JPB
1332,ZINCDEV
1333,YSAS
1334,PAJAS
1335,CAVANAUGH
1336,CSOE
1337,JOHANVDB
1338,VELTZER
1339,BOZZIO
1340,EARL
1341,PAVELH
1342,RHANDOM
1343,MZSANFORD
1344,PRIMEBASE
1345,AJGOUGH
1346,MATTHEWG
1347,BRENTDAX
1348,MIDI
1349,BBEAUSEJ
1350,STARKY
1351,PNE
1352,DLECONTE
1353,SIMONP
1354,CHIPT
1355,MSOUTHERN
1356,OLAF
1357,PRL
1358,LOURIDAS
1359,CORLISS
1360,FRANCOC
1361,COLINK
1362,NWALSH
1363,HVDS
1364,KJOHNSON
1365,SZECK
1366,BMIDD
1367,SHARI
1368,JHPB
1369,MPIOTR
1370,JGLICK
1371,GENJISCH
1372,JOSERODR
1373,OESI
1374,CURTISF
1375,AIZVORSKI
1376,AZS
1377,MOPOKE
1378,JHIVER
1379,CMERTZ
1380,RUSAKOV
1381,MALTEU
1382,CGILMORE
1383,MCKAY
1384,NEDKONZ
1385,SAMPO
1386,DRRHO
1387,LALA
1388,MMAKAAY
1389,MSLAGLE
1390,JERI
1391,IAWELCH
1392,TLOWERY
1393,LUPUS
1394,TEVERETT
1395,ASHTED
1396,JJHORNER
1397,CHARTGRP
1398,ARYEH
1399,BARRACODE
1400,WILSONPM
1401,EVO
1402,GRANTM
1403,FERRANCE
1404,MCNEWTON
1405,CWHITE
1406,DAPI
1407,HDIAS
1408,ISAAC
1409,BEPPU
1410,RCS
1411,RANI
1412,ALGERNON
1413,EMPI
1414,SHERLOCK
1415,SSCOTTO
1416,PVHP
1417,KEROYON
1418,AUBERTG
1419,SRIRAM
1420,ARFREITAS
1421,JBISBEE
1422,GWOLF
1423,BLOM
1424,PEICHMAN
1425,DANBOO
1426,KAWASAKI
1427,LROCHER
1428,MARCEL
1429,TOM
1430,MASANORIH
1431,ASARIH
1432,GBROCK
1433,WVDB
1434,MINTER
1435,CHROMATIC
1436,ALECS
1437,PMAREK
1438,SRSHAH
1439,JGAMBLE
1440,ADAPAY
1441,ZEFRAM
1442,MADCODER
1443,JPEREGR
1444,DOOM
1445,DECIUS
1446,BRADFITZ
1447,AGOLOMSH
1448,AYOUNG
1449,ANDY
1450,CHANSEN
1451,DSPARLING
1452,SARGIE
1453,MCEWAN
1454,HOLOWAY
1455,KARJALA
1456,MAHITO
1457,ZOOVY
1458,JCDUQUE
1459,SIMONFLK
1460,SEYHAN
1461,KOLIBRIE
1462,DKAMHOLZ
1463,JROBINSON
1464,ZOOLEIKA
1465,CSA
1466,JHUGHES
1467,RYANPARR
1468,GUNNAR
1469,STRO
1470,SSORICHE
1471,RHANSON
1472,YANA
1473,KVAIL
1474,ALEC
1475,LPALMER
1476,SMIFFY
1477,HESSU
1478,KELLAN
1479,EISEN
1480,MAMAWE
1481,COG
1482,SYP
1483,LORENSEN
1484,SSCHECK
1485,WORRALL
1486,MHX
1487,FRANCKC
1488,MASAHITO
1489,MIYAZAKI
1490,CWEST
1491,SMCNABB
1492,SOKOLOV
1493,TSIBLEY
1494,DDICK
1495,KGJERDE
1496,GWADEJ
1497,AKAPLAN
1498,GUS
1499,DMAC
1500,THILO
1501,KSTEPHENS
1502,JMASON
1503,BOXZOU
1504,RHUNDT
1505,TMURRAY
1506,BISSCUITT
1507,JGMYERS
1508,DANPEDER
1509,ERIAM
1510,BDUGGAN
1511,TILLY
1512,ALEXMASS
1513,HORSHACK
1514,GALGIER
1515,KSPENCER
1516,IWADE
1517,WASX
1518,AARONJJ
1519,LHS
1520,KROKI
1521,ALIZTA
1522,PHCOTE
1523,KULP
1524,RPANMAN
1525,FLORIAN
1526,PSIONIC
1527,OPIATE
1528,BRONSON
1529,BGILMORE
1530,TAKEFUMI
1531,DEXTER
1532,WALTMAN
1533,JKONDO
1534,MVERB
1535,JENSL
1536,BBIRTH
1537,JDHEDDEN
1538,CMOORE
1539,DARREN
1540,MJS
1541,ANNO
1542,SILI
1543,PALANT
1544,SIMONF
1545,KAYSB
1546,JLAPOUTRE
1547,BNEGRAO
1548,THOSPEL
1549,MASAP
1550,JMACFARLA
1551,OINUME
1552,KRUSCOE
1553,LINNIN
1554,ICHUDOV
1555,BARBEE
1556,BLOONIX
1557,ULLAPRA
1558,JEB
1559,DIMRUB
1560,CHRISCHU
1561,JKEENAN
1562,JPACE
1563,IMACAT
1564,AVATAR
1565,RECKON
1566,RETOH
1567,DCHRIS
1568,YAPPO
1569,NKUITSE
1570,RA
1571,MSICKEL
1572,PETERW
1573,BEADSLAND
1574,STRZELEC
1575,HASANT
1576,KOSTAS
1577,BRUCEK
1578,SEMUELF
1579,RICHDAWE
1580,JWOODYATT
1581,RKINYON
1582,FEDOROV
1583,JAOS
1584,SCHULTE
1585,PROFERO
1586,TEUN
1587,BPGN
